skaterFullName,playerId,height,weight,birthDate,birthCity,birthStateProvinceCode,birthCountryCode,draftYear,draftRound,draftOverall,isInHallOfFameYn,currentTeamAbbrev,currentTeamName,shootsCatches,positionCode,gamesPlayed,goals,assists,points,nationalityCode,lastName,firstSeasonForGameType
Tom Wilson,8476880,76,225,1994-03-29,Toronto,ON,CAN,2012.0,1.0,16.0,N,WSH,Washington Capitals,R,R,69,29,30,59,CAN,Wilson,20132014
Fabian Zetterlund,8480188,71,208,1999-08-25,Karlstad,,SWE,2017.0,3.0,63.0,N,OTT,Ottawa Senators,R,L,79,16,15,31,SWE,Zetterlund,20212022
Michael Rasmussen,8479992,78,222,1999-04-17,Surrey,BC,CAN,2017.0,1.0,9.0,N,DET,Detroit Red Wings,L,C,64,6,8,14,CAN,Rasmussen,20182019
Erik Gustafsson,8476979,72,190,1992-03-14,Nynashamn,,SWE,2012.0,4.0,93.0,N,DET,Detroit Red Wings,L,D,2,0,0,0,SWE,Gustafsson,20152016
Juuso Parssinen,8481704,75,207,2001-02-01,Hameenlinna,,FIN,2019.0,7.0,210.0,N,NYR,New York Rangers,L,C,20,2,1,3,FIN,Parssinen,20222023
Emil Andrae,8482126,69,189,2002-02-23,Vastervik,,SWE,2020.0,2.0,54.0,N,PHI,Philadelphia Flyers,L,D,58,2,11,13,SWE,Andrae,20232024
Noah Ostlund,8483500,71,180,2004-03-11,Stockholm,,SWE,2022.0,1.0,16.0,N,BUF,Buffalo Sabres,L,C,60,11,16,27,SWE,Ostlund,20242025
Trevor van Riemsdyk,8477845,75,210,1991-07-24,Middletown,NJ,USA,,,,N,WSH,Washington Capitals,R,D,65,2,10,12,USA,van Riemsdyk,20142015
Tomas Nosek,8477931,75,199,1992-09-01,Pardubice,,CZE,,,,N,FLA,Florida Panthers,L,L,19,0,2,2,CZE,Nosek,20152016
Alex Ovechkin,8471214,75,238,1985-09-17,Moscow,,RUS,2004.0,1.0,1.0,N,WSH,Washington Capitals,R,L,79,31,30,61,RUS,Ovechkin,20052006
Frank Nazar,8483493,70,190,2004-01-14,Detroit,MI,USA,2022.0,1.0,13.0,N,CHI,Chicago Blackhawks,R,C,63,15,26,41,USA,Nazar,20232024
Nikita Chibrikov,8482787,70,170,2003-02-16,Moscow,,RUS,2021.0,2.0,50.0,N,WPG,Winnipeg Jets,L,R,8,0,0,0,RUS,Chibrikov,20232024
Kent Johnson,8482660,72,170,2002-10-18,Port Moody,BC,CAN,2021.0,1.0,5.0,N,CBJ,Columbus Blue Jackets,L,C,73,7,14,21,CAN,Johnson,20212022
David Tomasek,8485493,74,210,1996-02-10,Praha,,CZE,,,,N,,,R,R,22,3,2,5,CZE,Tomasek,20252026
Ridly Greig,8482092,72,184,2002-08-08,Lethbridge,AB,CAN,2020.0,1.0,28.0,N,OTT,Ottawa Senators,L,C,74,12,21,33,CAN,Greig,20222023
Tyler Tucker,8481006,73,204,2000-03-01,Thunder Bay,ON,CAN,2018.0,7.0,200.0,N,STL,St. Louis Blues,L,D,65,3,11,14,CAN,Tucker,20222023
Igor Chernyshov,8484994,74,195,2005-11-30,Penza,,RUS,2024.0,2.0,33.0,N,SJS,San Jose Sharks,R,L,24,5,9,14,RUS,Chernyshov,20252026
Ryan Winterton,8482751,74,175,2003-09-04,Markham,ON,CAN,2021.0,3.0,67.0,N,SEA,Seattle Kraken,R,C,64,4,14,18,CAN,Winterton,20232024
Kirby Dach,8481523,76,221,2001-01-21,Fort Saskatchewan,AB,CAN,2019.0,1.0,3.0,N,MTL,Montréal Canadiens,R,C,34,8,6,14,CAN,Dach,20192020
Donovan Sebrango,8482131,74,223,2002-01-12,Ottawa,ON,CAN,2020.0,3.0,63.0,N,FLA,Florida Panthers,L,D,39,0,5,5,CAN,Sebrango,20242025
Eetu Luostarinen,8480185,75,191,1998-09-02,Siilinjarvi,,FIN,2017.0,2.0,42.0,N,FLA,Florida Panthers,L,C,70,10,19,29,FIN,Luostarinen,20192020
J.T. Compher,8477456,72,191,1995-04-08,Northbrook,IL,USA,2013.0,2.0,35.0,N,DET,Detroit Red Wings,R,L,79,11,15,26,USA,Compher,20162017
John Tavares,8475166,73,217,1990-09-20,Mississauga,ON,CAN,2009.0,1.0,1.0,N,TOR,Toronto Maple Leafs,L,C,79,30,39,69,CAN,Tavares,20092010
Steven Lorentz,8478904,76,219,1996-04-13,Kitchener,ON,CAN,2015.0,7.0,186.0,N,TOR,Toronto Maple Leafs,L,C,68,7,10,17,CAN,Lorentz,20202021
Yakov Trenin,8478508,74,201,1997-01-13,Chelyabinsk,,RUS,2015.0,2.0,55.0,N,MIN,Minnesota Wild,L,C,79,6,16,22,RUS,Trenin,20192020
Evan Bouchard,8480803,75,192,1999-10-20,Oakville,ON,CAN,2018.0,1.0,10.0,N,EDM,Edmonton Oilers,R,D,79,21,70,91,CAN,Bouchard,20182019
Sam Malinski,8484258,71,190,1998-07-27,Lakeville,MN,USA,,,,N,COL,Colorado Avalanche,R,D,78,7,31,38,USA,Malinski,20232024
Victor Olofsson,8478109,71,180,1995-07-18,Ornskoldsvik,,SWE,2014.0,7.0,181.0,N,CGY,Calgary Flames,L,L,75,13,18,31,SWE,Olofsson,20182019
Mikael Granlund,8475798,70,193,1992-02-26,Oulu,,FIN,2010.0,1.0,9.0,N,ANA,Anaheim Ducks,L,C,55,19,18,37,FIN,Granlund,20122013
Dylan McIlrath,8475795,77,240,1992-04-20,Winnipeg,MB,CAN,2010.0,1.0,10.0,N,WSH,Washington Capitals,R,D,12,0,0,0,CAN,McIlrath,20132014
Josh Norris,8480064,74,196,1999-05-05,Oxford,MI,USA,2017.0,1.0,19.0,N,BUF,Buffalo Sabres,L,C,42,11,21,32,USA,Norris,20192020
Matt Rempe,8482460,81,261,2002-06-29,Calgary,AB,CAN,2020.0,6.0,165.0,N,NYR,New York Rangers,R,C,26,1,0,1,CAN,Rempe,20232024
Alexey Toropchenko,8480281,78,225,1999-06-25,Moscow,,RUS,2017.0,4.0,113.0,N,STL,St. Louis Blues,L,R,61,3,5,8,RUS,Toropchenko,20212022
Marco Rossi,8482079,69,182,2001-09-23,Feldkirch,,AUT,2020.0,1.0,9.0,N,VAN,Vancouver Canucks,L,C,46,10,21,31,AUT,Rossi,20212022
Brandt Clarke,8482730,74,200,2003-02-09,Nepean,ON,CAN,2021.0,1.0,8.0,N,LAK,Los Angeles Kings,R,D,78,8,32,40,CAN,Clarke,20222023
Noah Philp,8481491,75,198,1998-08-31,Canmore,AB,CAN,,,,N,CAR,Carolina Hurricanes,R,C,17,2,1,3,CAN,Philp,20242025
Denver Barkey,8484142,70,171,2005-04-27,Newmarket,ON,CAN,2023.0,3.0,95.0,N,PHI,Philadelphia Flyers,L,C,40,5,10,15,CAN,Barkey,20252026
Matthew Tkachuk,8479314,74,202,1997-12-11,Scottsdale,AZ,USA,2016.0,1.0,6.0,N,FLA,Florida Panthers,L,L,30,13,19,32,USA,Tkachuk,20162017
Henry Thrun,8481567,74,211,2001-03-12,Southborough,MA,USA,2019.0,4.0,101.0,N,TOR,Toronto Maple Leafs,L,D,4,0,0,0,USA,Thrun,20222023
Connor McDavid,8478402,73,194,1997-01-13,Richmond Hill,ON,CAN,2015.0,1.0,1.0,N,EDM,Edmonton Oilers,L,C,79,47,86,133,CAN,McDavid,20152016
David Perron,8474102,72,202,1988-05-28,Sherbrooke,QC,CAN,2007.0,1.0,26.0,N,DET,Detroit Red Wings,R,L,62,11,15,26,CAN,Perron,20072008
Dominic Toninato,8476952,74,201,1994-03-09,Duluth,MN,USA,2012.0,5.0,126.0,N,CHI,Chicago Blackhawks,L,C,7,0,1,1,USA,Toninato,20172018
Joel Edmundson,8476441,77,220,1993-06-28,Brandon,MB,CAN,2011.0,2.0,46.0,N,LAK,Los Angeles Kings,L,D,78,2,20,22,CAN,Edmundson,20152016
Artemi Panarin,8478550,72,176,1991-10-30,Korkino,,RUS,,,,N,LAK,Los Angeles Kings,R,L,74,27,55,82,RUS,Panarin,20152016
Mika Zibanejad,8476459,74,208,1993-04-18,Stockholm,,SWE,2011.0,1.0,6.0,N,NYR,New York Rangers,R,C,78,33,43,76,SWE,Zibanejad,20112012
Hugh McGing,8481070,68,174,1998-07-11,Chicago,IL,USA,2018.0,5.0,138.0,N,STL,St. Louis Blues,L,L,3,1,1,2,USA,McGing,20222023
Tyson Kozak,8482896,71,185,2002-12-29,Souris,MB,CAN,2021.0,7.0,193.0,N,BUF,Buffalo Sabres,L,C,44,2,3,5,CAN,Kozak,20242025
Chris Tanev,8475690,75,200,1989-12-20,Toronto,ON,CAN,,,,N,TOR,Toronto Maple Leafs,R,D,11,0,2,2,CAN,Tanev,20102011
Ilya Lyubushkin,8480950,74,206,1994-04-06,Moscow,,RUS,,,,N,DAL,Dallas Stars,R,D,50,1,7,8,RUS,Lyubushkin,20182019
Joel Kiviranta,8481641,71,185,1996-03-23,Vantaa,,FIN,,,,N,COL,Colorado Avalanche,L,L,47,3,6,9,FIN,Kiviranta,20192020
Marshall Warren,8481569,71,195,2001-04-20,Laurel Hollow,NY,USA,2019.0,6.0,166.0,N,NYI,New York Islanders,L,D,8,0,3,3,USA,Warren,20252026
Pavol Regenda,8483630,75,215,1999-12-07,Michalovce,,SVK,,,,N,SJS,San Jose Sharks,L,L,23,9,1,10,SVK,Regenda,20222023
Lian Bichsel,8483425,79,237,2004-05-18,Olten,,CHE,2022.0,1.0,18.0,N,DAL,Dallas Stars,L,D,48,4,4,8,CHE,Bichsel,20242025
Max Jones,8479368,75,216,1998-02-17,Rochester,MI,USA,2016.0,1.0,24.0,N,EDM,Edmonton Oilers,L,L,20,3,2,5,USA,Jones,20182019
Vincent Desharnais,8479576,79,225,1996-05-29,Laval,QC,CAN,2016.0,7.0,183.0,N,SJS,San Jose Sharks,R,D,50,1,6,7,CAN,Desharnais,20222023
Bo Horvat,8477500,73,225,1995-04-05,London,ON,CAN,2013.0,1.0,9.0,N,NYI,New York Islanders,L,C,65,30,26,56,CAN,Horvat,20142015
Ondrej Palat,8476292,72,194,1991-03-28,Frydek-Mistek,,CZE,2011.0,7.0,208.0,N,NYI,New York Islanders,L,L,78,5,10,15,CZE,Palat,20122013
Connor Clattenburg,8484529,74,215,2005-05-02,Ottawa,ON,CAN,2024.0,5.0,160.0,N,EDM,Edmonton Oilers,L,C,5,1,0,1,CAN,Clattenburg,20252026
Sam Morton,8484821,72,185,1999-07-28,Lafayette,CO,USA,,,,N,CGY,Calgary Flames,L,C,3,0,0,0,USA,Morton,20242025
Alex Bump,8483731,72,195,2003-11-20,Burnsville,MN,USA,2022.0,5.0,133.0,N,PHI,Philadelphia Flyers,L,L,16,4,4,8,USA,Bump,20252026
Daniil Miromanov,8482624,76,207,1997-07-11,Moscow,,RUS,,,,N,CGY,Calgary Flames,R,D,1,0,0,0,RUS,Miromanov,20212022
Chris Kreider,8475184,75,232,1991-04-30,Boxford,MA,USA,2009.0,1.0,19.0,N,ANA,Anaheim Ducks,L,L,73,22,26,48,USA,Kreider,20122013
Robert Thomas,8480023,72,207,1999-07-02,Aurora,ON,CAN,2017.0,1.0,20.0,N,STL,St. Louis Blues,R,C,60,22,36,58,CAN,Thomas,20182019
Bobby McMann,8482259,74,217,1996-06-15,Wainwright,AB,CAN,,,,N,SEA,Seattle Kraken,L,C,74,28,17,45,CAN,McMann,20222023
Jack St. Ivany,8481030,76,197,1999-07-22,Manhattan Beach,CA,USA,2018.0,4.0,112.0,N,PIT,Pittsburgh Penguins,R,D,17,0,7,7,USA,St. Ivany,20232024
Noah Dobson,8480865,76,200,2000-01-07,Summerside,PE,CAN,2018.0,1.0,12.0,N,MTL,Montréal Canadiens,R,D,79,12,35,47,CAN,Dobson,20192020
Lane Hutson,8483457,69,162,2004-02-14,Holland,MI,USA,2022.0,2.0,62.0,N,MTL,Montréal Canadiens,L,D,79,12,63,75,USA,Hutson,20232024
Morgan Rielly,8476853,73,219,1994-03-09,Vancouver,BC,CAN,2012.0,1.0,5.0,N,TOR,Toronto Maple Leafs,L,D,75,11,25,36,CAN,Rielly,20132014
Philip Broberg,8481598,76,210,2001-06-25,Orebro,,SWE,2019.0,1.0,8.0,N,STL,St. Louis Blues,L,D,77,6,26,32,SWE,Broberg,20212022
Matvei Michkov,8484387,70,172,2004-12-09,Perm,,RUS,2023.0,1.0,7.0,N,PHI,Philadelphia Flyers,L,R,78,17,28,45,RUS,Michkov,20242025
Jacob Trouba,8476885,75,212,1994-02-26,Rochester,MI,USA,2012.0,1.0,9.0,N,ANA,Anaheim Ducks,R,D,78,10,24,34,USA,Trouba,20132014
Jackson Blake,8482809,71,185,2003-08-03,Fargo,ND,USA,2021.0,4.0,109.0,N,CAR,Carolina Hurricanes,R,R,79,22,30,52,USA,Blake,20232024
Pontus Holmberg,8480995,72,201,1999-03-09,Vasteras,,SWE,2018.0,6.0,156.0,N,TBL,Tampa Bay Lightning,L,R,70,11,11,22,SWE,Holmberg,20222023
Bowen Byram,8481524,73,205,2001-06-13,Cranbrook,BC,CAN,2019.0,1.0,4.0,N,BUF,Buffalo Sabres,L,D,80,11,31,42,CAN,Byram,20202021
Elmer Soderblom,8481725,80,252,2001-07-05,Gothenburg,,SWE,2019.0,6.0,159.0,N,PIT,Pittsburgh Penguins,L,L,56,6,5,11,SWE,Soderblom,20222023
Jordan Martinook,8476921,73,208,1992-07-25,Brandon,MB,CAN,2012.0,2.0,58.0,N,CAR,Carolina Hurricanes,L,L,74,12,15,27,CAN,Martinook,20142015
Seth Jarvis,8482093,70,180,2002-02-01,Winnipeg,MB,CAN,2020.0,1.0,13.0,N,CAR,Carolina Hurricanes,R,C,70,32,34,66,CAN,Jarvis,20212022
Jansen Harkins,8478424,73,197,1997-05-23,Cleveland,OH,USA,2015.0,2.0,47.0,N,ANA,Anaheim Ducks,L,C,44,3,5,8,USA,Harkins,20192020
Casey Mittelstadt,8479999,73,205,1998-11-22,Eden Prairie,MN,USA,2017.0,1.0,8.0,N,BOS,Boston Bruins,L,C,69,15,27,42,USA,Mittelstadt,20172018
Marcus Johansson,8475149,73,203,1990-10-06,Landskrona,,SWE,2009.0,1.0,24.0,N,MIN,Minnesota Wild,L,L,72,15,32,47,SWE,Johansson,20102011
Rasmus Sandin,8480873,71,189,2000-03-07,Uppsala,,SWE,2018.0,1.0,29.0,N,WSH,Washington Capitals,L,D,72,5,24,29,SWE,Sandin,20192020
Evan Rodrigues,8478542,71,182,1993-07-28,Toronto,ON,CAN,,,,N,FLA,Florida Panthers,R,C,69,11,20,31,CAN,Rodrigues,20152016
Brent Burns,8470613,77,228,1985-03-09,Barrie,ON,CAN,2003.0,1.0,20.0,N,COL,Colorado Avalanche,R,D,78,12,22,34,CAN,Burns,20032004
Marcus Foligno,8475220,75,226,1991-08-10,Buffalo,NY,USA,2009.0,4.0,104.0,N,MIN,Minnesota Wild,L,L,55,8,5,13,CAN,Foligno,20112012
Valeri Nichushkin,8477501,76,210,1995-03-04,Chelyabinsk,,RUS,2013.0,1.0,10.0,N,COL,Colorado Avalanche,L,R,68,17,30,47,RUS,Nichushkin,20132014
Mathieu Joseph,8478472,73,189,1997-02-09,Laval,QC,CAN,2015.0,4.0,120.0,N,LAK,Los Angeles Kings,L,R,47,2,9,11,CAN,Joseph,20182019
Parker Kelly,8480448,73,185,1999-05-14,Camrose,AB,CAN,,,,N,COL,Colorado Avalanche,L,C,78,20,14,34,CAN,Kelly,20202021
Cameron Crotty,8480075,75,213,1999-05-05,Ottawa,ON,CAN,2017.0,3.0,82.0,N,OTT,Ottawa Senators,R,D,4,0,1,1,CAN,Crotty,20232024
Andreas Englund,8477971,76,200,1996-01-21,Stockholm,,SWE,2014.0,2.0,40.0,N,NSH,Nashville Predators,L,D,3,0,0,0,SWE,Englund,20162017
Cody Ceci,8476879,75,210,1993-12-21,Ottawa,ON,CAN,2012.0,1.0,15.0,N,LAK,Los Angeles Kings,R,D,78,1,8,9,CAN,Ceci,20132014
Mikael Backlund,8474150,72,206,1989-03-17,Vasteras,,SWE,2007.0,1.0,24.0,N,CGY,Calgary Flames,L,C,78,16,25,41,SWE,Backlund,20082009
Ryan O'Reilly,8475158,73,207,1991-02-07,Clinton,ON,CAN,2009.0,2.0,33.0,N,NSH,Nashville Predators,L,C,78,25,47,72,CAN,O'Reilly,20092010
Tristen Nielsen,8483039,70,192,2000-02-23,Fort St. John,BC,CAN,,,,N,COL,Colorado Avalanche,L,C,4,0,1,1,CAN,Nielsen,20252026
Mikulas Hovorka,8484933,78,229,2001-07-01,Praha,,CZE,,,,N,FLA,Florida Panthers,R,D,3,0,0,0,CZE,Hovorka,20252026
Brett Berard,8482132,69,175,2002-09-09,Providence,RI,USA,2020.0,5.0,134.0,N,NYR,New York Rangers,L,L,13,0,0,0,USA,Berard,20242025
Sam Reinhart,8477933,73,196,1995-11-06,West Vancouver,BC,CAN,2014.0,1.0,2.0,N,FLA,Florida Panthers,R,C,64,29,32,61,CAN,Reinhart,20142015
Uvis Balinskis,8484304,72,196,1996-08-01,Ventspils,,LVA,,,,N,FLA,Florida Panthers,L,D,54,5,10,15,LVA,Balinskis,20232024
Porter Martone,8485406,75,214,2006-10-26,Peterborough,ON,CAN,2025.0,1.0,6.0,N,PHI,Philadelphia Flyers,R,R,6,2,4,6,CAN,Martone,20252026
Cole Perfetti,8482149,71,185,2002-01-01,Whitby,ON,CAN,2020.0,1.0,10.0,N,WPG,Winnipeg Jets,L,C,64,12,20,32,CAN,Perfetti,20212022
Taylor Ward,8483406,74,215,1998-03-31,Kelowna,BC,CAN,,,,N,LAK,Los Angeles Kings,R,R,32,3,4,7,CAN,Ward,20242025
Jack Finley,8482090,78,227,2002-09-02,St. Louis,MO,USA,2020.0,2.0,57.0,N,STL,St. Louis Blues,R,C,42,2,3,5,USA,Finley,20242025
Erik Cernak,8478416,76,230,1997-05-28,Kosice,,SVK,2015.0,2.0,43.0,N,TBL,Tampa Bay Lightning,R,D,58,2,8,10,SVK,Cernak,20182019
Nick Seeler,8476372,75,197,1993-06-03,Eden Prairie,MN,USA,2011.0,5.0,131.0,N,PHI,Philadelphia Flyers,L,D,77,3,6,9,USA,Seeler,20172018
Walker Duehr,8482652,74,210,1997-11-23,Sioux Falls,SD,USA,,,,N,WPG,Winnipeg Jets,R,R,3,0,0,0,USA,Duehr,20212022
Josh Doan,8482659,74,198,2002-02-01,Scottsdale,AZ,USA,2021.0,2.0,37.0,N,BUF,Buffalo Sabres,R,R,80,25,26,51,USA,Doan,20232024
Quinton Byfield,8482124,77,230,2002-08-19,Newmarket,ON,CAN,2020.0,1.0,2.0,N,LAK,Los Angeles Kings,L,R,75,20,24,44,CAN,Byfield,20202021
Cole Schwindt,8481655,75,210,2001-04-25,Kitchener,ON,CAN,2019.0,3.0,81.0,N,FLA,Florida Panthers,R,R,26,4,2,6,CAN,Schwindt,20212022
Alexander Nikishin,8482100,75,218,2001-10-02,Orel,,RUS,2020.0,3.0,69.0,N,CAR,Carolina Hurricanes,L,D,78,11,21,32,RUS,Nikishin,20252026
Angus Crookshank,8481065,70,183,1999-10-02,North Vancouver,BC,CAN,2018.0,5.0,126.0,N,NJD,New Jersey Devils,L,C,8,1,0,1,CAN,Crookshank,20232024
Adam Ginning,8480874,75,196,2000-01-13,Linkoping,,SWE,2018.0,2.0,50.0,N,PHI,Philadelphia Flyers,L,D,5,0,0,0,SWE,Ginning,20222023
Martin Necas,8480039,75,195,1999-01-15,Nove Mesto na Morave,,CZE,2017.0,1.0,12.0,N,COL,Colorado Avalanche,R,C,75,38,60,98,CZE,Necas,20172018
Justin Danforth,8479941,68,193,1993-03-15,Oshawa,ON,CAN,,,,N,BUF,Buffalo Sabres,R,R,4,0,0,0,CAN,Danforth,20212022
Jake Walman,8478013,73,218,1996-02-20,Toronto,ON,CAN,2014.0,3.0,82.0,N,EDM,Edmonton Oilers,L,D,50,8,12,20,CAN,Walman,20192020
Nate Schmidt,8477220,72,197,1991-07-16,St. Cloud,MN,USA,,,,N,UTA,Utah Mammoth,L,D,78,5,16,21,USA,Schmidt,20132014
Johnathan Kovacevic,8480192,77,223,1997-07-12,Hamilton,ON,CAN,2017.0,3.0,74.0,N,NJD,New Jersey Devils,R,D,31,0,7,7,CAN,Kovacevic,20212022
Brad Lambert,8483471,73,173,2003-12-19,Lahti,,FIN,2022.0,1.0,30.0,N,WPG,Winnipeg Jets,R,C,21,3,3,6,FIN,Lambert,20232024
Beckett Sennecke,8484762,75,206,2006-01-28,Toronto,ON,CAN,2024.0,1.0,3.0,N,ANA,Anaheim Ducks,R,R,79,23,37,60,CAN,Sennecke,20252026
Anton Blidh,8477320,73,191,1995-03-14,Molnlycke,,SWE,2013.0,6.0,180.0,N,NYR,New York Rangers,L,L,4,0,1,1,SWE,Blidh,20162017
Drew Fortescue,8484169,74,195,2005-04-28,New York,NY,USA,2023.0,3.0,90.0,N,NYR,New York Rangers,L,D,7,0,2,2,USA,Fortescue,20252026
Dmitry Kulikov,8475179,73,212,1990-10-29,Lipetsk,,RUS,2009.0,1.0,14.0,N,FLA,Florida Panthers,L,D,19,0,0,0,RUS,Kulikov,20092010
Adam Engstrom,8483686,74,193,2003-11-17,Jarna,,SWE,2022.0,3.0,92.0,N,MTL,Montréal Canadiens,L,D,13,0,1,1,SWE,Engstrom,20252026
Dougie Hamilton,8476462,78,230,1993-06-17,Toronto,ON,CAN,2011.0,1.0,9.0,N,NJD,New Jersey Devils,R,D,74,12,24,36,CAN,Hamilton,20122013
Kasperi Kapanen,8477953,73,194,1996-07-23,Kuopio,,FIN,2014.0,1.0,22.0,N,EDM,Edmonton Oilers,R,R,38,8,9,17,FIN,Kapanen,20152016
Matthew Poitras,8483505,72,189,2004-03-10,Whitby,ON,CAN,2022.0,2.0,54.0,N,BOS,Boston Bruins,R,C,3,1,0,1,CAN,Poitras,20232024
Lane Pederson,8478967,73,196,1997-08-04,Saskatoon,SK,CAN,,,,N,PHI,Philadelphia Flyers,R,C,5,0,0,0,CAN,Pederson,20202021
Jamie Drysdale,8482142,71,185,2002-04-08,Toronto,ON,CAN,2020.0,1.0,6.0,N,PHI,Philadelphia Flyers,R,D,76,8,24,32,CAN,Drysdale,20202021
Yan Kuznetsov,8482165,76,209,2002-03-09,Murmansk,,RUS,2020.0,2.0,50.0,N,CGY,Calgary Flames,L,D,56,4,8,12,RUS,Kuznetsov,20232024
Peyton Krebs,8481522,72,188,2001-01-26,Calgary,AB,CAN,2019.0,1.0,17.0,N,BUF,Buffalo Sabres,L,C,80,12,27,39,CAN,Krebs,20202021
Filip Chytil,8480078,74,210,1999-09-05,Kromeriz,,CZE,2017.0,1.0,21.0,N,VAN,Vancouver Canucks,L,C,12,3,0,3,CZE,Chytil,20172018
Brayden Point,8478010,71,177,1996-03-13,Calgary,AB,CAN,2014.0,3.0,79.0,N,TBL,Tampa Bay Lightning,R,C,61,18,30,48,CAN,Point,20162017
K'Andre Miller,8480817,77,210,2000-01-21,St. Paul,MN,USA,2018.0,1.0,22.0,N,CAR,Carolina Hurricanes,L,D,71,8,29,37,USA,Miller,20202021
Jared Wright,8483756,73,178,2002-11-22,Burnsville,MN,USA,2022.0,6.0,169.0,N,LAK,Los Angeles Kings,R,R,19,0,4,4,USA,Wright,20252026
Jared McCann,8477955,73,191,1996-05-31,Stratford,ON,CAN,2014.0,1.0,24.0,N,SEA,Seattle Kraken,L,L,51,20,19,39,CAN,McCann,20152016
Jakob Chychrun,8479345,74,215,1998-03-31,Boca Raton,FL,USA,2016.0,1.0,16.0,N,WSH,Washington Capitals,L,D,77,25,34,59,CAN,Chychrun,20162017
Anthony Beauvillier,8478463,71,181,1997-06-08,Sorel-Tracy,QC,CAN,2015.0,1.0,28.0,N,WSH,Washington Capitals,L,R,79,14,13,27,CAN,Beauvillier,20162017
Lukas Reichel,8482117,72,170,2002-05-17,Nürnberg,,DEU,2020.0,1.0,17.0,N,BOS,Boston Bruins,L,L,28,3,5,8,DEU,Reichel,20212022
Phillip Danault,8476479,73,200,1993-02-24,Victoriaville,QC,CAN,2011.0,1.0,26.0,N,MTL,Montréal Canadiens,L,C,73,6,11,17,CAN,Danault,20142015
Nils Aman,8482496,74,179,2000-02-07,Avesta,,SWE,2020.0,6.0,167.0,N,VAN,Vancouver Canucks,L,C,2,0,0,0,SWE,Aman,20222023
Jake Guentzel,8477404,71,176,1994-10-06,Omaha,NE,USA,2013.0,3.0,77.0,N,TBL,Tampa Bay Lightning,L,C,79,37,49,86,USA,Guentzel,20162017
Carson Soucy,8477369,76,211,1994-07-27,Viking,AB,CAN,2013.0,5.0,137.0,N,NYI,New York Islanders,L,D,73,5,7,12,CAN,Soucy,20172018
Nick Foligno,8473422,72,210,1987-10-31,Buffalo,NY,USA,2006.0,1.0,28.0,N,MIN,Minnesota Wild,L,L,51,3,9,12,USA,Foligno,20072008
Ivan Ivan,8483930,72,190,2002-08-20,Ostrava,,CZE,,,,N,COL,Colorado Avalanche,L,C,9,0,1,1,CZE,Ivan,20242025
Calle Jarnkrok,8475714,72,193,1991-09-25,Gavle,,SWE,2010.0,2.0,51.0,N,TOR,Toronto Maple Leafs,R,C,54,6,2,8,SWE,Jarnkrok,20132014
Brayden McNabb,8475188,76,215,1991-01-21,Davidson,SK,CAN,2009.0,3.0,66.0,N,VGK,Vegas Golden Knights,L,D,60,5,6,11,CAN,McNabb,20112012
Dysin Mayo,8478062,72,190,1996-08-17,Victoria,BC,CAN,2014.0,5.0,133.0,N,CBJ,Columbus Blue Jackets,R,D,3,0,1,1,CAN,Mayo,20212022
Nino Niederreiter,8475799,74,218,1992-09-08,Chur,,CHE,2010.0,1.0,5.0,N,WPG,Winnipeg Jets,L,R,57,8,11,19,CHE,Niederreiter,20102011
Ilya Solovyov,8482470,75,208,2000-07-20,Mogilev,,BLR,2020.0,7.0,205.0,N,PIT,Pittsburgh Penguins,L,D,27,1,7,8,BLR,Solovyov,20232024
Nick Perbix,8480246,76,206,1998-06-15,Elk River,MN,USA,2017.0,6.0,169.0,N,NSH,Nashville Predators,R,D,76,3,8,11,USA,Perbix,20222023
Skyler Brind'Amour,8480291,74,195,1999-07-27,Raleigh,NC,USA,2017.0,6.0,177.0,N,CAR,Carolina Hurricanes,L,C,1,0,0,0,USA,Brind'Amour,20242025
Ryan McLeod,8480802,75,204,1999-09-21,Mississauga,ON,CAN,2018.0,2.0,40.0,N,BUF,Buffalo Sabres,L,C,80,13,40,53,CAN,McLeod,20202021
Hendrix Lapierre,8482148,72,195,2002-02-09,Gatineau,QC,CAN,2020.0,1.0,22.0,N,WSH,Washington Capitals,L,C,73,4,12,16,CAN,Lapierre,20212022
Luke Hughes,8482684,74,198,2003-09-09,Manchester,NH,USA,2021.0,1.0,4.0,N,NJD,New Jersey Devils,L,D,68,6,29,35,USA,Hughes,20222023
Ryan McDonagh,8474151,73,216,1989-06-13,St. Paul,MN,USA,2007.0,1.0,12.0,N,TBL,Tampa Bay Lightning,L,D,46,6,13,19,USA,McDonagh,20102011
Liam Ohgren,8483499,72,187,2004-01-28,Stockholm,,SWE,2022.0,1.0,19.0,N,VAN,Vancouver Canucks,L,L,65,8,10,18,SWE,Ohgren,20232024
Calum Ritchie,8484221,74,200,2005-01-21,Oakville,ON,CAN,2023.0,1.0,27.0,N,NYI,New York Islanders,R,C,62,13,17,30,CAN,Ritchie,20242025
Nikolaj Ehlers,8477940,72,168,1996-02-14,Aalborg,,DNK,2014.0,1.0,9.0,N,CAR,Carolina Hurricanes,L,L,79,24,42,66,DNK,Ehlers,20152016
Jordan Spence,8481606,71,188,2001-02-24,Manly,,AUS,2019.0,4.0,95.0,N,OTT,Ottawa Senators,R,D,70,7,23,30,CAN,Spence,20212022
